	ID	Fwy	Dir	District	County	City	State_PM	Abs_PM	Latitude	Longitude	Length	Type	Lanes	Name	User_ID_1	User_ID_2	User_ID_3	User_ID_4	Date
32	400060	80	W	4	1	6000.0	6.2	11.51	37.87181	-122.305549	0.375	ML	5	N of University Ave	DT322	L5-W-33-080-00620	997001	427302	2013_12_13
33	400065	87	S	4	85	68000.0	4.9	4.9	37.32044	-121.890471	0.28	ML	2	NB & SB 280  rm-s-conn	DT660	L2-S-37-087-00490	998111	417994	2013_12_13
34	400067	880	S	4	1	81204.0	12.94	23.167	37.597694	-122.060285	0.275	ML	4	Alvarado-Niles Rd rm-s-diag	DTA17	L4-S-33-880-01294	998409	421846	2013_12_13
35	400069	101	S	4	85	69084.0	42.77	392.443	37.385758	-121.977493	0.36	ML	4	Great America Pkwy rm-s-diag	DT084	L4-S-37-101-04277	998175	424570	2013_12_13
36	400071	92	W	4	81	25338.0	13.93	14.656	37.567395	-122.26939	2.78	ML	3	2700' E of Foster City Blvd.	DT037	L3-W-35-092-01393	092150	418896	2013_12_13
37	400073	17	S	4	85	44112.0	9.4	21.953	37.2563	-121.955559	0.465	ML	2	NB 85 rm-s-loop/conn	DT257	L2-S-37-017-00940	998015	417549	2013_12_13
38	400074	80	W	4	95	81666.0	3.4	30.872	38.108307	-122.22977	0.575	ML	3	Tennessee St.(east) off ramp	DT060	L3-W-23-080-00340	999074	421467	2013_12_13
39	400075	580	E	4	1	53000.0	45.56	61.493	37.82576	-122.275143	1.089	ML	6	West St off ramp	DT342	L6-E-33-580-04556	580262	423506	2013_12_13
40	400078	680	N	4	13	83346.0	15.39	46.891	37.912981	-122.066814	0.465	ML	6	N Main St off-n-loop	DT546	L6-N-28-680-01539	680275	423530	2013_12_13
41	400079	80	W	4	13	60620.0	.51	13.843	37.904377	-122.313309	0.235	ML	4	W of Panama Ave	DT111	L4-W-28-080-00051	801160	419658	2013_12_13
42	400082	80	E	4	13	60620.0	6.27	19.603	37.980187	-122.317007	0.185	ML	4	1000' W of Richmond Pkwy	DT169	L4-E-28-080-00627	080003	420216	2013_12_13
43	400083	24	W	4	1	53000.0	2.89	1.043	37.839128	-122.264826	0.36	ML	4	SHATTUCK AVE/ 55TH ST	DT069	L4-W-33-024-00289	324105	424402	2013_12_13
44	400084	280	S	4	85	17610.0	8.22	9.602	37.329258	-122.012053	0.665	ML	4	WOLFE RD	DT910	L4-S-37-280-00822	998263	419412	2013_12_13
45	400085	85	S	4	85	68000.0	6.1	6.1	37.255594	-121.87471	0.495	ML	3	ALMADEN EXPWY	DT489	L3-S-37-085-00610	998055	421232	2013_12_13
46	400088	880	N	4	85	47766.0	7.65	7.65	37.414988	-121.912685	0.475	ML	3	Great Mall Pkwy rm-n-loop	DT065	L3-N-37-880-00765	998325	421022	2013_12_13
47	400090	680	N	4	13	17988.0	7.3	38.692	37.819048	-121.993114	0.32	ML	5	2000' N OF Sycamore Valley Rd	DT255	L5-N-28-680-00730	999319	423420	2013_12_13
48	400091	880	S	4	1	68084.0	22.5	32.727	37.70723	-122.162087	0.295	ML	5	200' N of Fairway/Aladdin Dr	DT401	L5-S-33-880-02250	881248	426812	2013_12_13
49	400093	880	S	4	1	53000.0	R33.8	44.027	37.811953	-122.303779	0.725	ML	4	1400' N of 7th St	DT630	L4-S-33-880-03380	999344	422026	2013_12_13
50	400094	880	N	4	1	53000.0	28.88	39.107	37.776769	-122.236107	0.225	ML	4	23th Ave/Kennedy St rm-s-loop	DTA39	L4-N-33-880-02888	998482	424816	2013_12_13
51	400095	80	W	4	13	60620.0	.23	13.563	37.900816	-122.310886	0.268	ML	4	CENTRAL AVE	DT461	L4-W-28-080-00023	80158	419646	2013_12_13
52	400096	237	W	4	85	69084.0	6.18	6.237	37.418049	-121.972381	0.543	ML	3	Great American Pkwy	DT852	L3-W-37-237-00618	998246	418926	2013_12_13
53	400097	85	S	4	85	70280.0	13.93	14.106	37.279012	-122.010614	0.755	ML	3	Saratoga Ave  rm-n-diag	DT595	L3-S-37-085-01393	998084	421277	2013_12_13
54	400098	101	S	4	81	9066.0	16.49	418.713	37.589175	-122.359999	0.3	ML	4	Broadway rm-s-loop/diag	DT278	L4-S-35-101-01649	102296	430564	2013_12_13
55	400100	17	S	4	85	10340.0	12.39	24.943	37.295052	-121.938872	0.56	ML	3	Hamilton Ave rm-n-loop	DT755	l3-S-37-017-01239	998027	421197	2013_12_13
56	400101	24	W	4	13	54232.0	1.81	6.158	37.872945	-122.189548	0.585	ML	5	1200' W of Orinda exit	DT429	L5-W-28-024-00181	024132	427134	2013_12_13
57	400103	24	E	4	1	53000.0	2.89	1.043	37.839085	-122.26443	0.44	ML	4	Shattuck Ave / 55th St	DT069	L4-E-33-024-00289	124106	420276	2013_12_13
58	400104	237	E	4	85	68000.0	7.11	7.162	37.419313	-121.95548	0.665	ML	3	NORTH FIRST STREET	DT814	L3-E-37-237-00711	998233	420567	2013_12_13
59	400105	680	S	4	13	68378.0	4.35	35.767	37.779363	-121.976498	0.26	ML	4	Crow Canyon Rd on-n-diag	DT250	L4-S-28-680-00435	682218	424216	2013_12_13
60	400106	101	S	4	81	68252.0	14.93	417.153	37.586325	-122.332169	0.29	ML	5	oppo peninsula ave rm-n-diag	DT274	L5-S-35-101-01493	105296	430561	2013_12_13
3983	400107	101	N	4	81	68252.0	11.72	413.907	37.551284	-122.294014	0.235	ML	4	oppo EB 92 rm-s-diag	DT264	L4-N-35-101-01172	101007	422296	2014_03_07
61	400107	101	N	4	81	68252.0	11.65	413.837	37.550467	-122.293264	0.24	ML	4	N of Barel Creek	DT264	L4-N-35-101-01165	101007	422296	2013_12_13
62	400108	17	N	4	85		4.06	16.613	37.190197	-121.992771	3.025	ML	2	Bear Creek Rd rm-n-diag	DT012	L2-N-37-017-00406	998001	417365	2013_12_13
2758	400108	17	N	4	85		4.06	16.613	37.190197	-121.992771	3.025	ML	2	Bear Creek Rd rm-n-diag	DT012	L2-N-37-017-00406	998001	417365	2014_02_21
3984	400108	17	N	4	85		4.06	16.613	37.190197	-121.992771	3.025	ML	2	Bear Creek Rd rm-n-diag	DT012	L2-N-37-017-00406	998001	417365	2014_03_07
63	400109	101	S	4	85	68000.0	37.61	387.283	37.362706	-121.889426	0.785	ML	4	N 13th St/Oakland Rd rm-s-diag	DT027	L4-S-37-101-03761	998139	424540	2013_12_13
64	400110	680	S	4	13	57764.0	18.14	49.641	37.951045	-122.055749	0.59	ML	6	GREGORY LN OFF-S-DIAG	DT356	L6-S-28-680-01814	680291	423706	2013_12_13
65	400111	580	E	4	1	57792.0	18.85	34.882	37.70141	-121.888557	0.205	ML	5	HACIENDA DR	DT661	L5-E-33-580-01885	580152	423322	2013_12_13
66	400112	242	N	4	13	16000.0	2.81	3.069	37.998096	-122.038232	0.938	ML	4	Olivera St oc (Reitz Ct)	DT177	L4-N-28-242-00281	242111	420662	2013_12_13
67	400113	80	W	4	13	60620.0	2.62	15.953	37.932553	-122.326013	0.46	ML	4	Barrett Ave rm-w-diag	DT463	L4-W-28-080-00262	080168	419694	2013_12_13
68	400115	238	S	4	1		15.41	15.233	37.688688	-122.114306	0.34	ML	3	Kent St	DT144	L3-S-33-238-01541	238116	421137	2013_12_13
3985	400115	238	S	4	1		15.41	15.233	37.688688	-122.114306	0.34	ML	3	Kent St	DT144	L3-S-33-238-01541	238116	421137	2014_03_07
2759	400115	238	S	4	1		15.41	15.233	37.688688	-122.114306	0.34	ML	3	Kent St	DT144	L3-S-33-238-01541	238116	421137	2014_02_21
69	400116	101	S	4	81		20.53	422.753	37.633443	-122.403124	0.4	ML	4	300' N of San Bruno OC	DT293	L4-S-35-101-02053	103312	419784	2013_12_13
3986	400116	101	S	4	81		20.57	422.793	37.634035	-122.403213	0.25	ML	4	N Access Rd rm-s-fly	DT189	L4-S-35-101-02057	103312	419784	2014_03_07
2760	400116	101	S	4	81		20.53	422.753	37.633443	-122.403124	0.4	ML	4	300' N of San Bruno OC	DT293	L4-S-35-101-02053	103312	419784	2014_02_21
70	400118	680	N	4	13	68378.0	4.41	35.827	37.780247	-121.976637	0.25	ML	4	Crow Canyon Rd on-n-diag	DT250	L4-N-28-680-00441	680233	418427	2013_12_13
71	400119	101	N	4	81		18.58	420.767	37.608473	-122.389316	0.29	ML	4	3300' N of Milbrae ave OC	DT286	L4-N-35-101-01858	101335	422338	2013_12_13
3987	400119	101	N	4	81		18.58	420.767	37.608473	-122.389316	0.285	ML	4	3300' N of Milbrae ave OC	DT286	L4-N-35-101-01858	101335	422338	2014_03_07
2761	400119	101	N	4	81		18.58	420.767	37.608473	-122.389316	0.29	ML	4	3300' N of Milbrae ave OC	DT286	L4-N-35-101-01858	101335	422338	2014_02_21
72	400122	880	N	4	85	68000.0	4.21	4.21	37.36614	-121.901132	0.185	ML	3	NB 101	DT975	L3-N-37-880-00421	998317	421012	2013_12_13
2762	400124	80	E	4	13		12	25.333	38.037879	-122.248062	0.4	ML	4	600' W OF REFINERY RD UC	DT024	L4-E-28-080-01200	803215	418646	2014_02_21
3988	400124	80	E	4	13		12	25.333	38.037879	-122.248062	0.4	ML	4	600' W OF REFINERY RD UC	DT024	L4-E-28-080-01200	803215	418646	2014_03_07
73	400124	80	E	4	13		12	25.333	38.037879	-122.248062	0.4	ML	4	600' W OF REFINERY RD UC	DT024	L4-E-28-080-01200	803215	418646	2013_12_13
2763	400125	101	N	4	81		19.37	421.557	37.617067	-122.398437	0.1	ML	6	1200' N of SFIA	DT289	L6-N-35-101-01937	103341	423594	2014_02_21
74	400125	101	N	4	81		19.37	421.557	37.617067	-122.398437	0.1	ML	6	1200' N of SFIA	DT289	L6-N-35-101-01937	103341	423594	2013_12_13
3989	400125	101	N	4	81		19.37	421.557	37.617067	-122.398437	0.1	ML	6	1200' N of SFIA	DT289	L6-N-35-101-01937	103341	423594	2014_03_07
75	400126	80	W	4	1	6000.0	5.09	10.4	37.856366	-122.301014	0.325	ML	5	S Aquatic Park	DT319	L5-W-33-080-00491	997007	427274	2013_12_13
76	400127	84	E	4	1	26000.0	.89	30.95	37.516003	-122.106861	1.06	ML	3	800' E of Dumbarton East end	DT922	L3-E-33-084-00089	184105	418696	2013_12_13
77	400128	80	W	4	95	81666.0	1.75	29.222	38.084974	-122.233096	0.52	ML	3	oppo Magazine St  on-e-	DT056	L3-W-23-080-00175	080230	421457	2013_12_13
78	400132	85	N	4	85	68000.0	2.11	2.11	37.243208	-121.806387	1.515	ML	3	COTTLE RD ONAL	DT383	L3-N-37-085-00211	998039	420797	2013_12_13
79	400134	880	S	4	1	53000.0	24.75	34.977	37.731787	-122.188781	0.335	ML	4	98th Ave rm-s-loop	DT756	L4-S-33-880-02475	998459	421930	2013_12_13
80	400137	880	N	4	1	26000.0	8.83	19.057	37.54653	-122.022581	0.3	ML	4	THORNTON AVE	DTA07	L4-N-33-880-00883	998389	424684	2013_12_13
81	400138	101	S	4	85		32.85	382.519	37.31631	-121.829714	0.9	ML	4	TULLY RD	DT680	L4-S-37-101-03285	998129	424516	2013_12_13
3990	400138	101	S	4	85		32.85	382.519	37.31631	-121.829714	0.9	ML	4	TULLY RD	DT680	L4-S-37-101-03285	998129	424516	2014_03_07
2764	400138	101	S	4	85		32.85	382.519	37.31631	-121.829714	0.9	ML	4	TULLY RD	DT680	L4-S-37-101-03285	998129	424516	2014_02_21
82	400141	880	N	4	1	26000.0	6.37	16.597	37.523522	-121.989607	0.455	ML	4	Stevenson Blvd rm-n-diag	DT999	L4-N-33-880-00637	998375	424666	2013_12_13
2765	400143	101	S	4	41		18.62	459.225	38.074388	-122.541483	0.26	ML	5	2200' N of Ignasio Blvd	DT564	L5-S-27-101-01862	101478	426609	2014_02_21
3991	400143	101	S	4	41		18.62	459.225	38.074388	-122.541483	0.26	ML	5	2200' N of Ignasio Blvd	DT564	L5-S-27-101-01862	101478	426609	2014_03_07
83	400143	101	S	4	41		18.62	459.225	38.074388	-122.541483	0.26	ML	5	2200' N of Ignasio Blvd	DT564	L5-S-27-101-01862	101478	426609	2013_12_13
84	400145	85	N	4	85	68000.0	4.03	4.03	37.251693	-121.838501	0.67	ML	3	BLOSSOM HILL RD	DT418	L3-N-37-085-00403	998045	420807	2013_12_13
2766	400146	880	S	4	1		19.68	29.907	37.680405	-122.123301	0.295	ML	6	100' S OF PASEO GRANDE	DT399	L6-S-33-880-01968	884238	423746	2014_02_21
3992	400146	880	S	4	1		19.68	29.907	37.680405	-122.123301	0.295	ML	6	100' S OF PASEO GRANDE	DT399	L6-S-33-880-01968	884238	423746	2014_03_07
85	400146	880	S	4	1		19.68	29.907	37.680405	-122.123301	0.295	ML	6	100' S OF PASEO GRANDE	DT399	L6-S-33-880-01968	884238	423746	2013_12_13
86	400147	880	N	4	85	68000.0	2.04	2.04	37.34221	-121.926305	0.665	ML	3	THE ALAMEDA/ 82	DT963	L3-N-37-880-00204	998295	420992	2013_12_13
87	400148	85	N	4	85	68000.0	8.23	8.23	37.250664	-121.912479	0.565	ML	3	Camden Ave rm-n-diag	DT533	L3-N-37-085-00823	998065	420837	2013_12_13
88	400149	101	S	4	85	49670.0	48.59	398.263	37.4118	-122.077964	0.05	ML	3	Shoreline Blvd rm-s-diag	DT767	L3-S-37-101-04859	998203	421357	2013_12_13
3993	400150	680	N	4	13		12.09	43.482	37.872824	-122.043122	0.15	ML	4	3000' S OF Rudgear Rd	DT268	L4-N-28-680-01209	999060	418547	2014_03_07
2767	400150	680	N	4	13		12.09	43.482	37.872824	-122.043122	0.15	ML	4	3000' S OF Rudgear Rd	DT268	L4-N-28-680-01209	999060	418547	2014_02_21
89	400150	680	N	4	13		12.09	43.482	37.872824	-122.043122	0.15	ML	4	3000' S OF Rudgear Rd	DT268	L4-N-28-680-01209	999060	418547	2013_12_13
90	400152	680	N	4	13	17988.0	6.31	37.727	37.805539	-121.990262	0.448	ML	4	2100' S Sycamore Valley Rd	DT253	L4-N-28-680-00631	999317	418457	2013_12_13
91	400153	580	E	4	1	41992.0	15.58	31.612	37.700938	-121.828882	0.4	ML	6	W OF AIRWAY BLVD	DT314	L6-E-33-580-01558	580142	427420	2013_12_13
92	400154	17	N	4	85	44112.0	7.05	19.603	37.226342	-121.975157	0.51	ML	2	Saratoga Ave rm-n-loop	DT163	L2-N-37-017-00705	998003	416972	2013_12_13
93	400156	280	N	4	75	67000.0	2.05	52.011	37.727079	-122.445019	0.56	ML	5	Havelock St	DT007	L5-N-34-280-00205	280277	426336	2013_12_13
94	400158	237	W	4	85	68000.0	8.17	8.222	37.421059	-121.93678	2.57	ML	3	Zanker Rd RM-E-Diag	DT834	L3-W-37-237-00817	998238	418946	2013_12_13
95	400160	101	S	4	85	68000.0	35.64	385.309	37.348392	-121.860589	0.455	ML	4	Alum Rock Ave rm-s-diag	DT775	L4-S-37-101-03564	998223	424528	2013_12_13
96	400162	92	W	4	81	68252.0	11.51	12.236	37.552555	-122.307411	0.565	ML	2	W of Delaware St.	DT034	L2-W-35-092-01151	092132	418146	2013_12_13
97	400164	84	W	4	1	26000.0	2.11	32.17	37.530179	-122.093116	0.71	ML	3	3300' W OF TOLL PLAZA	DT825	L3-W-33-084-00211	284106	418836	2013_12_13
98	400168	101	N	4	85	77000.0	43.83	393.467	37.391166	-121.995524	0.17	ML	4	Lawrence Expwy. rm-n-loop	DT953	L4-N-37-101-04383	998181	422668	2013_12_13
99	400169	680	S	4	13	83346.0	11.94	43.332	37.870801	-122.042021	0.145	ML	4	3300' N of Livorna Rd	DT536	L4-S-28-680-01194	681248	421540	2013_12_13
100	400171	24	E	4	13	39122.0	4.53	8.878	37.891457	-122.152067	0.335	ML	4	ACALANES RD	DT440	L4-E-28-024-00453	24139	418355	2013_12_13
101	400172	101	S	4	85	68000.0	40.59	390.263	37.376264	-121.939712	0.975	ML	4	De La Cruz Blvd rm-s-diag	DT715	L4-S-37-101-04059	998155	424546	2013_12_13
102	400174	85	N	4	85	49670.0	23.48	23.656	37.403686	-122.06976	0.734	ML	3	oppo Moffett Blvd rm-s-loop	DT614	L3-N-37-085-02348	998094	420887	2013_12_13
103	400176	80	W	4	1	6000.0	5.85	11.16	37.866963	-122.303994	0.25	ML	5	University Ave on-e-diag	DT678	L5-W-33-080-00585	997003	427295	2013_12_13
104	400178	87	N	4	85	68000.0	1.53	1.53	37.276988	-121.863502	0.255	ML	2	Capitol Expwy  rm-n-diag	DT637	L2-N-37-087-00153	998099	417004	2013_12_13
105	400180	880	N	4	1		19.04	29.267	37.674405	-122.114201	0.325	ML	5	900' S of Hacienda Ave	DT397	L5-N-33-880-01904	882233	426245	2013_12_13
2768	400180	880	N	4	1		19.04	29.267	37.674405	-122.114201	0.325	ML	5	900' S of Hacienda Ave	DT397	L5-N-33-880-01904	882233	426245	2014_02_21
3994	400180	880	N	4	1		19.04	29.267	37.674405	-122.114201	0.325	ML	5	900' S of Hacienda Ave	DT397	L5-N-33-880-01904	882233	426245	2014_03_07
106	400181	101	N	4	85	68000.0	27.02	376.291	37.244125	-121.772528	0.385	ML	4	Bernal Rd rm-n-loop	DT769	L4-N-37-101-02702	998215	417048	2013_12_13
107	400182	80	E	4	13	60620.0	2.05	15.383	37.925458	-122.320648	0.31	ML	6	E of Cutting Blvd	DT166	L6-E-28-080-00205	801166	427388	2013_12_13
3995	400183	101	N	4	81	8310.0	24.81	426.997	37.689942	-122.390669	0.065	ML	4	2400' N of Sierra Point Prkwy	DT300	L4-N-35-101-02481	102369	422404	2014_03_07
108	400183	101	N	4	81	8310.0	24.81	426.997	37.689942	-122.390669	0.15	ML	4	2400' N of Sierra Point Prkwy	DT300	L4-N-35-101-02481	102369	422404	2013_12_13
109	400184	680	N	4	13	16000.0	19.09	50.79	37.966533	-122.056341	1.154	ML	4	WILLOW PASS  ON-N-DIAG	DT853	L4-N-28-680-01909	682280	418613	2013_12_13
110	400185	85	N	4	85	68000.0	16.06	16.236	37.303131	-122.034527	0.91	ML	3	De Anza Blvd/Saratoga-Sunny	DT606	L3-N-37-085-01606	998087	420877	2013_12_13
111	400186	880	S	4	1	26000.0	11.05	21.277	37.572471	-122.046218	0.55	ML	4	600' N of Paseo Padre Pkwy	DT382	L4-S-33-880-01105	880204	421810	2013_12_13
112	400189	880	N	4	1	26000.0	3.28	13.507	37.493107	-121.948928	0.35	ML	4	Fremont Blvd rm-n-loop	DT993	L4-N-33-880-00328	998359	420066	2013_12_13
113	400190	880	S	4	1	53000.0	28.07	38.297	37.771395	-122.223163	0.56	ML	4	42nd/High St rm-n-diag	DT724	L4-S-33-880-02807	998478	421960	2013_12_13
114	400192	880	S	4	1	68084.0	23.35	33.577	37.71565	-122.173379	0.165	ML	5	Davis St off-n-diag	DT917	L5-S-33-880-02335	880254	426826	2013_12_13
115	400193	680	S	4	13	57764.0	17.01	48.511	37.935254	-122.060384	0.445	ML	4	Oak Park Blvd	DT550	L4-S-28-680-01701	681274	421588	2013_12_13
116	400195	101	N	4	85	68000.0	33.27	382.903	37.321278	-121.834098	0.65	ML	5	Tully Rd rm-n-loop	DTB01	l5-N-37-101-03327	998133	426504	2013_12_13
117	400197	24	E	4	13	39122.0	6.73	11.078	37.895088	-122.112962	0.43	ML	4	FIRST ST	DT449	L4-E-28-024-00673	24143	418379	2013_12_13
118	400201	237	W	4	85	68000.0	6.7	6.752	37.419186	-121.962831	0.462	ML	3	N FIRST STREET	DT193	L3-W-37-237-00670	998231	418931	2013_12_13
119	400202	580	E	4	13	60620.0	2.31	66.236	37.92135	-122.337615	0.74	ML	3	Marina Bay Parkway (S 23rd St)	DT121	L3-E-28-580-00231	580282	418671	2013_12_13
